job,website,company,salary
Java开发工程师(长亮数据）,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,8000-16000
Java服务器后台开发工程师,http://company.zhaopin.com/CC445115731.htm,无锡点春科技股份有限公司,7000-12000
JAVA开发/储备人才年底双薪 饭补 加班补助,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,6001-8000
高薪Java程序员实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
java软件开发工程师（上市公司、五险一金）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
java实习生+双休,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,2001-4000
Java软件开发工程师/实习生/计算机专业,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
软件开发实习生（java/.net）,http://company.zhaopin.com/CZ633064630.htm,无锡威泰朗信息技术有限公司,4001-6000
JAVA开发工程师（实习）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
Java带薪实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
Java开发工程师,http://company.zhaopin.com/CZ626940030.htm,今典(北京)教育科技有限责任公司,8001-10000
上市IT企业java/计算机实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
java实习生,http://company.zhaopin.com/CZ633064630.htm,无锡威泰朗信息技术有限公司,2001-4000
java开发助理工程师,http://company.zhaopin.com/CZ633064630.htm,无锡威泰朗信息技术有限公司,4001-6000
IT企业直聘java开发实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
高薪可培养JAVA开发工程师/java工程师,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4000-6000
高薪可实习java开发工程师/java软件工程师,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
软件研发工程师助理（java/web/安卓/ios）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
手机APP程序员/软件开发（java/安卓）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
软件工程师java/web/c++/php）实习生+双休,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪聘JAVA实习生（可从助理做起）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
