job,website,company,salary
助理SAS程序员,http://company.zhaopin.com/CZ132762320.htm,上海用正医药科技有限公司,4001-6000
IT运维工程师/IT程序员实习生双休五险,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
程序员5K+房补,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,6001-8000
五险双休 仓库/物流管理员可转IT程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,3000-5000
python开发/Python程序员（经验不限）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
java程序员,http://company.zhaopin.com/P7/CC0004/1376/CC000413762.htm,北京易华录信息技术股份有限公司,5000-8000
IT技术文员/IT助理/IT程序员专业不限可实习,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,3500-6000
急招初级程序员/实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
php软件工程师/PHP开发/PHP程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
无经验可学徒）Java实习生/java开发/java程序员,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
C++程序员实习生，可无经验,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
互联网软件开发实习生/互联网程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
诚聘：ios程序员/IOS开发工程师助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
程序员（C语言基础）应届,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
软件研发工程师/程序员（接受转行）,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
可提供吃住）初级程序员,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
无经验可学徒Java实习生/java开发/程序员,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
可零基础程序员+转正5K,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
外企4000诚聘初级JAVA程序员可实习,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
php程序员实习生（前景好+五险+稳定）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
JAVA程序员（无锡）,http://company.zhaopin.com/CZ000553060D00113218031.htm,松下信息系统（上海）有限公司 无锡分公司,4000-8000
互联网开发实习生/互联网程序员/计算机学徒,http://company.zhaopin.com/CC566494326.htm,无锡文思海辉信息技术有限公司,4001-6000
Java程序员（应届生+待遇优）,http://company.zhaopin.com/CC566494326.htm,无锡文思海辉信息技术有限公司,4001-6000
Java软件开发程序员,http://special.zhaopin.com/pagepublish/56755752/index.html,无锡鼎洲电子科技有限公司,6000-10000
网站程序员,http://company.zhaopin.com/CZ713448930.htm,无锡市但愿信息技术有限公司,4001-6000
PHP助理程序员/实习生（早八晚五双休）,http://company.zhaopin.com/CZ481900780.htm,江苏哈哈社信息科技有限公司,4001-6000
（待遇优）.net开发学徒/net程序员实习生,http://company.zhaopin.com/CC566494326.htm,无锡文思海辉信息技术有限公司,4001-6000
PHP后端程序员,http://company.zhaopin.com/CC644665523.htm,江苏爱孩爱妻家政服务有限公司,4000-8000
互联网软件开发实习生/互联网程序员/计算机,http://company.zhaopin.com/CC566494326.htm,无锡文思海辉信息技术有限公司,3000-5000
C/C++程序员,http://company.zhaopin.com/CC307429034.htm,江苏蓝深远望科技股份有限公司,4001-6000
五险+提成java工程师助理/java程序员,http://company.zhaopin.com/CC518301633.htm,南京学码思教育科技有限公司无锡分公司,4000-7000
计算机文员/it文员/IT程序员学徒,http://company.zhaopin.com/CC566494326.htm,无锡文思海辉信息技术有限公司,4001-6000
软件程序员,http://company.zhaopin.com/CZ633065280.htm,无锡诺威拓信息技术有限公司,4001-6000
java 实习/java 学徒/java程序员 不限经验,http://special.zhaopin.com/2016/sz/11025/szsw042162,苏州市威思登软件科技开发有限公司,4001-6000
Java程序员（应届生+待遇优）,http://company.zhaopin.com/CC477361780.htm,苏州纽奥德软件科技开发有限公司,4001-6000
开发工程师（程序员）,http://company.zhaopin.com/CZ610143030.htm,无锡联迪科技有限公司,8001-10000
采集程序员,http://company.zhaopin.com/%E6%B1%9F%E8%8B%8F%E7%A8%8E%E8%BD%AF%E8%BD%AF%E4%BB%B6%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC444501627.htm,江苏税软软件科技有限公司,6001-8000
程序员,http://company.zhaopin.com/CZ176044310.htm,嘉友联精密机械工程(无锡)有限公司,4001-6000
JAVA程序员(无锡),http://company.zhaopin.com/CZ184427120.htm,华夏视清数字技术(北京)有限公司,5000-8000
计算机Java初级程序员（无锡）,http://company.zhaopin.com/CC579751685.htm,南京赛博软件有限公司,4001-6000
.Net 高级程序员,http://company.zhaopin.com/CZ425060930.htm,无锡蝶美软件有限公司,6000-10000
php程序员,http://company.zhaopin.com/CZ524679020.htm,无锡浩业网络信息顾问有限公司,4001-6000
网站程序员,http://company.zhaopin.com/CZ627411980.htm,江苏知汇堡物联网技术有限公司,5000-8000
程序员开发 PHP,http://company.zhaopin.com/CC575913928.htm,无锡普照传媒有限公司,5000-8000
临床数据库程序员,http://company.zhaopin.com/CZ717834780.htm,上海凌先医药科技有限公司,4000-8000
php程序员,http://company.zhaopin.com/%E6%97%A0%E9%94%A1%E5%90%9B%E9%80%9A%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC198224727.htm,无锡君通科技服务有限公司,5000-8000
地铁口 javat软件开发助理java程序员,http://special.zhaopin.com/2016/sz/11025/szsw042162,苏州市威思登软件科技开发有限公司,4001-6000
程序员双休可接受应届生,http://company.zhaopin.com/CC477361780.htm,苏州纽奥德软件科技开发有限公司,4001-6000
软件研发 初级计算机程序员,http://special.zhaopin.com/2016/sz/11025/szsw042162,苏州市威思登软件科技开发有限公司,4001-6000
IT学徒+编程程序员软件(实习学徒）,http://company.zhaopin.com/CC477361780.htm,苏州纽奥德软件科技开发有限公司,4001-6000
Java程序员0基础,http://company.zhaopin.com/CC477361780.htm,苏州纽奥德软件科技开发有限公司,4001-6000
PHP程序员,http://special.zhaopin.com/2016/wx/11004/wxzr081865/zpzw.html,无锡中软国际信息技术培训有限公司,6001-8000
IT程序员（日语方向）,http://company.zhaopin.com/CZ144579220.htm,沈阳新干线外国语培训学校,10001-15000
程序员（高薪+可实习）,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
